console_display,full_title,total_search_results,tune_title,tune_slug,composer,meter,incipit,key,place_of_origin,copyright,num_hymnals,midi_url,recording_url,pdf_url,hymnary_url
FightGoodFight,Fight the Good Fight,10,PARK STREET,park_street_venua,F. Venua (1810),8.8.8.8,11112 32171 33334,F Major,,Public Domain,329,https://hymnary.org/media/fetch/81962,https://hymnary.org/media/fetch/181015,https://hymnary.org/media/fetch/81963,https://hymnary.org/tune/park_street_venua
FightGoodFight,Fight the Good Fight,10,ERNAN (Mason),ernan_mason,Lowell Mason (1850),8.8.8.8,53451 17671 66655,B♭ Major,,Public Domain,244,https://hymnary.org/media/fetch/82158,https://hymnary.org/media/fetch/185546,https://hymnary.org/media/fetch/82159,https://hymnary.org/tune/ernan_mason
ForAllSaints,For All the Saints,10,AUSTRIAN HYMN,austrian_hymn_haydn,Joseph Haydn (1797),8.7.8.7 D,12324 32716 54323,E♭ Major,,Public Domain,803,https://hymnary.org/media/fetch/80374,https://hymnary.org/media/fetch/222441,https://hymnary.org/media/fetch/80375,https://hymnary.org/tune/austrian_hymn_haydn
ForAllSaints,For All the Saints,10,ALL SAINTS NEW (Cutler),all_saints_new_cutler,H. S. Cutler (1872),8.6.8.6 D,53451 17712 34322,B♭ Major,,Public Domain,622,https://hymnary.org/media/fetch/81282,https://hymnary.org/media/fetch/205296,https://hymnary.org/media/fetch/81283,https://hymnary.org/tune/all_saints_new_cutler
ForAllSaints,For All the Saints,10,FOUNDATION (American),foundation_american,Anonymous,11.11.11.11,56161 51131 35561,A♭ Major,United States,Public Domain,599,https://hymnary.org/media/fetch/80950,https://hymnary.org/media/fetch/84924,https://hymnary.org/media/fetch/80951,https://hymnary.org/tune/foundation_american
ForAllSaints,For All the Saints,10,DARWALL,darwall_darwall,John Darwall (1770),6.6.6.6.4.4.4.4,13153 17654 32231,C Major,,Public Domain,546,https://hymnary.org/media/fetch/80292,https://hymnary.org/media/fetch/222433,https://hymnary.org/media/fetch/80293,https://hymnary.org/tune/darwall_darwall
ForAllSaints,For All the Saints,10,LAUDA ANIMA (Goss),lauda_anima_goss,John Goss (1869),8.7.8.7.4.4.7,55551 76543 65342,D Major,England,Public Domain,297,https://hymnary.org/media/fetch/81251,https://hymnary.org/media/fetch/222242,https://hymnary.org/media/fetch/81252,https://hymnary.org/tune/lauda_anima_goss
ForBeautyofEarth,For the Beauty of the Earth,10,DIX (Kocher),dix_kocher,Conrad Kocher (1838),7.7.7.7.7.7,17121 44367 16555,G Major,Germany,Public Domain,977,https://hymnary.org/media/fetch/80110,https://hymnary.org/media/fetch/222232,https://hymnary.org/media/fetch/80111,https://hymnary.org/tune/dix_kocher
ForBeautyofEarth,For the Beauty of the Earth,10,ALL SAINTS NEW (Cutler),all_saints_new_cutler,H. S. Cutler (1872),8.6.8.6 D,53451 17712 34322,B♭ Major,,Public Domain,622,https://hymnary.org/media/fetch/81282,https://hymnary.org/media/fetch/205296,https://hymnary.org/media/fetch/81283,https://hymnary.org/tune/all_saints_new_cutler
ForBeautyofEarth,For the Beauty of the Earth,10,MATERNA,materna_ward,Samuel A. Ward (1882),8.6.8.6,55335 52234 56755,C Major,,Public Domain,561,https://hymnary.org/media/fetch/81267,https://hymnary.org/media/fetch/222834,https://hymnary.org/media/fetch/81268,https://hymnary.org/tune/materna_ward
ForBeautyofEarth,For the Beauty of the Earth,10,REDHEAD NO. 76,redhead_no_76,Richard Redhead (1853),7.7.7.7.7.7,11234 43112 32211,E♭ Major,,Public Domain,508,https://hymnary.org/media/fetch/80268,https://hymnary.org/media/fetch/222201,https://hymnary.org/media/fetch/80269,https://hymnary.org/tune/redhead_no_76
ForBeautyofEarth,For the Beauty of the Earth,10,OLD RUGGED CROSS,old_rugged_cross_bennard,George Bennard (1913),6.6.8.6.6.8 with refrain,34546 55565 76676,B♭ Major,,Public Domain,299,https://hymnary.org/media/fetch/81063,https://hymnary.org/media/fetch/199290,https://hymnary.org/media/fetch/81064,https://hymnary.org/tune/old_rugged_cross_bennard
Glorious Things,Glorious Things of Thee Are Spoken,10,RATHBUN,rathbun_conkey,Ithamar Conkey (1851),8.7.8.7,51317 65155 63234,B♭ Major,,Public Domain,905,https://hymnary.org/media/fetch/80156,https://hymnary.org/media/fetch/199114,https://hymnary.org/media/fetch/80157,https://hymnary.org/tune/rathbun_conkey
Glorious Things,Glorious Things of Thee Are Spoken,10,AUSTRIAN HYMN,austrian_hymn_haydn,Joseph Haydn (1797),8.7.8.7 D,12324 32716 54323,E♭ Major,,Public Domain,803,https://hymnary.org/media/fetch/80374,https://hymnary.org/media/fetch/222441,https://hymnary.org/media/fetch/80375,https://hymnary.org/tune/austrian_hymn_haydn
Glorious Things,Glorious Things of Thee Are Spoken,10,ABBOT'S LEIGH,abbots_leigh_taylor,Cyril Taylor (1941),8.7.8.7 D,53111 76655 34565,C Major,England,© 1942. Renewal 1970 by Hope Publishing Company,179,https://hymnary.org/media/fetch/104940,https://hymnary.org/media/fetch/199362,,https://hymnary.org/tune/abbots_leigh_taylor
Glorious Things,Glorious Things of Thee Are Spoken,10,RUSTINGTON,rustington_parry,C. Hubert H. Parry (1897),8.7.8.7 D,11432 17511 65453,F Major,England,Public Domain,88,https://hymnary.org/media/fetch/82685,https://hymnary.org/media/fetch/205777,https://hymnary.org/media/fetch/82686,https://hymnary.org/tune/rustington_parry
Glorious Things,Glorious Things of Thee Are Spoken,10,OVIO,ovio_mason,Lowell Mason,8.7.8.7,55531 11512 32132,A Major,,Public Domain,42,https://hymnary.org/media/fetch/193968,,https://hymnary.org/media/fetch/193966,https://hymnary.org/tune/ovio_mason
GloryBetoFather,Glory Be to the Father,10,INNOCENTS (Parish Choir),innocents_parishchoir,,7.7.7.7,34517 65123 54323,A Major,,Public Domain,492,https://hymnary.org/media/fetch/80733,https://hymnary.org/media/fetch/222819,https://hymnary.org/media/fetch/80734,https://hymnary.org/tune/innocents_parishchoir
GloryBetoFather,Glory Be to the Father,10,WINCHESTER NEW,winchester_new_musikalisches,,8.8.8.8,51566 54334 32554,A Major/B♭ Major,,Public Domain,435,https://hymnary.org/media/fetch/81856,https://hymnary.org/media/fetch/222544,https://hymnary.org/media/fetch/81857,https://hymnary.org/tune/winchester_new_musikalisches
GloryBetoFather,Glory Be to the Father,10,SINE NOMINE,sine_nomine_vaughan_williams,Ralph Vaughan Williams (1906),10.10.10.4 with alleluias,53215 61253 32177,F Major/G Major,,Public Domain,259,https://hymnary.org/media/fetch/80088,https://hymnary.org/media/fetch/222445,https://hymnary.org/media/fetch/80089,https://hymnary.org/tune/sine_nomine_vaughan_williams
GloryBetoFather,Glory Be to the Father,10,MEINEKE (Meineke),meineke_meineke,C. Meineke,Irregular,11111 22225 22217,A♭ Major,,Public Domain,252,https://hymnary.org/media/fetch/79966,https://hymnary.org/media/fetch/222533,https://hymnary.org/media/fetch/79967,https://hymnary.org/tune/meineke_meineke
GloryBetoFather,Glory Be to the Father,10,PUER NOBIS NASCITUR,puer_nobis_nascitur_praetorius,,8.8.8.8,11234 32115 55671,D Major,Germany,Public Domain,239,https://hymnary.org/media/fetch/81997,https://hymnary.org/media/fetch/222210,https://hymnary.org/media/fetch/81998,https://hymnary.org/tune/puer_nobis_nascitur_praetorius
